BEGIN
UPDATE 19
 id_area_type |             nm_area_type              | nm_area_type_short | pr_lead |     dt_data_del     
             45 | Казарма                    | казарма              | 2023-11-15 00:00:00
             46 | Местечко                   | м                    | 2023-11-15 00:00:00
             47 | Остров                     | остров               | 2023-11-15 00:00:00
             48 | Ряд                        | ряд                  | 
             49 | Дачное неком-е партнерство | днп                  | 2023-11-15 00:00:00
             50 | Дорога                     | дор                  | 
             51 | Маяк                       | маяк                 | 
             52 | Магистраль                 | мгстр.               | 
             53 | Некоммерческое партнерство | н/п                  | 2023-11-15 00:00:00
             54 | Планировочный район        | пл.р-н               | 2023-11-15 00:00:00
             55 | Полустанок                 | полустанок           | 
             56 | Территория ДНТ             | тер. ДНТ             | 2023-11-15 00:00:00
(56 строк)

COMMIT
